21.69 real	20.08 user	1.52 sys	33206416 memory (KB)
5.67 real	9.20 user	1.56 sys	33206412 memory (KB)
3.27 real	9.55 user	1.83 sys	33205260 memory (KB)
2.43 real	9.86 user	1.79 sys	33205272 memory (KB)
1.99 real	10.06 user	1.85 sys	33203528 memory (KB)
1.71 real	10.22 user	1.83 sys	33203544 memory (KB)
1.55 real	10.38 user	1.91 sys	33201816 memory (KB)
1.39 real	10.33 user	1.92 sys	33201804 memory (KB)
1.33 real	11.08 user	1.98 sys	33199516 memory (KB)
1.32 real	12.33 user	2.16 sys	33200664 memory (KB)
1.22 real	12.12 user	2.18 sys	33203536 memory (KB)
1.18 real	12.53 user	2.19 sys	33202972 memory (KB)
1.19 real	13.92 user	2.29 sys	33194328 memory (KB)
1.23 real	15.79 user	2.51 sys	33204116 memory (KB)
1.20 real	16.20 user	2.63 sys	33194316 memory (KB)
1.18 real	16.54 user	2.68 sys	33198348 memory (KB)
1.21 real	19.22 user	2.98 sys	33199508 memory (KB)
1.24 real	20.58 user	3.06 sys	33196044 memory (KB)
1.19 real	20.46 user	3.09 sys	33201240 memory (KB)
1.20 real	21.12 user	3.16 sys	33198360 memory (KB)
1.17 real	21.71 user	3.09 sys	33202380 memory (KB)
1.18 real	22.68 user	3.47 sys	33194312 memory (KB)
1.15 real	22.40 user	3.51 sys	33204124 memory (KB)
1.20 real	25.80 user	3.72 sys	33201228 memory (KB)
1.18 real	25.48 user	3.99 sys	33188556 memory (KB)
1.18 real	27.10 user	3.84 sys	33182796 memory (KB)
1.17 real	27.00 user	4.00 sys	33190284 memory (KB)
1.27 real	32.84 user	4.65 sys	33190872 memory (KB)
1.27 real	34.16 user	4.51 sys	33193740 memory (KB)
1.14 real	29.04 user	4.23 sys	33178756 memory (KB)
1.15 real	30.45 user	4.12 sys	33181072 memory (KB)
1.24 real	35.14 user	4.21 sys	33180492 memory (KB)
1.19 real	35.13 user	4.52 sys	33180508 memory (KB)
1.20 real	37.77 user	4.71 sys	33190276 memory (KB)
1.18 real	37.49 user	4.81 sys	33179932 memory (KB)
1.21 real	39.79 user	5.12 sys	33186264 memory (KB)
1.21 real	40.45 user	5.12 sys	33181644 memory (KB)
1.21 real	40.23 user	4.99 sys	33197768 memory (KB)
1.15 real	36.42 user	4.68 sys	33186244 memory (KB)
1.14 real	35.33 user	4.82 sys	33200664 memory (KB)
1.26 real	41.62 user	4.90 sys	33183388 memory (KB)
1.22 real	40.84 user	5.14 sys	33195476 memory (KB)
1.19 real	39.03 user	5.23 sys	33193752 memory (KB)
